,date,cu_cost,oil_cost,oil_vol,gas_cost,kosdaq_cost,kosdaq100_cost,kospi_cost,kospi200_cost,gas_vol,cu_vol
0,2022- 10- 31,3.375,86.53,285340.0,6.355,695.33,1416.59,2293.61,299.58,128750.0,66570.0
1,2022- 10- 28,3.429,87.9,263400.0,5.684,687.63,1399.85,2268.4,295.06,84710.0,73930.0
2,2022- 10- 27,3.5195,89.08,292560.0,5.186,695.09,1415.23,2288.78,298.82,1730.0,82340.0
3,2022- 10- 26,3.545,87.91,287180.0,5.606,683.17,1382.87,2249.56,293.85,36780.0,97900.0
4,2022- 10- 25,3.397,85.32,240440.0,5.613,688.85,1389.44,2235.07,291.58,39950.0,60020.0
5,2022- 10- 24,3.4305,84.58,250730.0,5.199,688.5,1394.23,2236.16,291.47,69670.0,70070.0
6,2022- 10- 21,3.4745,85.05,272800.0,4.959,674.48,1356.36,2213.12,288.57,101730.0,84800.0
7,2022- 10- 20,3.4105,85.98,18180.0,5.358,680.44,1359.58,2218.09,288.61,104220.0,77240.0
8,2022- 10- 19,3.318,85.55,71310.0,5.462,690.56,1389.67,2237.44,291.29,107160.0,65740.0
9,2022- 10- 18,3.362,82.82,97300.0,5.745,697.09,1407.34,2249.95,293.59,102090.0,72590.0
10,2022- 10- 17,3.4155,85.46,172020.0,5.999,682.0,1376.7,2219.71,289.57,132420.0,56830.0
11,2022- 10- 14,3.4235,85.61,237030.0,6.453,678.24,1374.07,2212.55,289.36,96730.0,70500.0
12,2022- 10- 13,3.4405,87.95,185660.0,6.741,651.59,1315.17,2162.87,282.57,131390.0,85970.0
13,2022- 10- 12,3.425,86.06,211340.0,6.435,671.67,1342.65,2202.47,287.09,112380.0,56580.0
14,2022- 10- 11,3.462,87.97,187520.0,6.596,669.5,1328.8,2192.07,284.96,106890.0,60600.0
15,2022- 10- 10,3.4305,89.84,156090.0,6.435,,,,,114240.0,58570.0
16,2022- 10- 07,3.3865,91.35,242270.0,6.748,698.49,1377.72,2232.84,290.41,124710.0,53150.0
17,2022- 10- 06,3.446,87.59,108490.0,6.972,706.01,1402.82,2237.86,291.26,109940.0,67870.0
18,2022- 10- 05,3.5005,86.84,160030.0,6.93,685.34,1360.93,2215.22,289.05,80870.0,59970.0
19,2022- 10- 04,3.49,85.5,156000.0,6.837,696.79,1391.62,2209.38,288.27,121680.0,76840.0
20,2022- 10- 03,3.41,82.7,135990.0,6.47,,,,,104480.0,49580.0
