,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
0,2022- 09- 30,221.55,1364.75,89.22,16730.0,,5070.0
1,2022- 09- 29,225.7,1410.75,89.45,14500.0,157470.0,4770.0
2,2022- 09- 28,228.7,1408.75,89.38,17980.0,,8140.000000000001
3,2022- 09- 27,224.35,1408.0,88.7,15720.0,,16370.000000000002
4,2022- 09- 26,223.8,1410.75,90.38,23520.0,,14400.0
5,2022- 09- 23,220.45,1425.75,92.62,12360.0,,11650.0
6,2022- 09- 22,223.55,1453.0,94.12,11420.0,,7240.0
7,2022- 09- 21,221.3,1461.25,94.42,11660.0,,10660.0
8,2022- 09- 20,228.1,1478.75,95.97,,,
9,2022- 09- 19,224.05,1461.25,96.47,,,
10,2022- 09- 16,218.05,1448.5,96.9,0.0,,12710.0
11,2022- 09- 15,219.15,1451.5,96.05,0.0,,16540.0
12,2022- 09- 14,214.85,1455.0,94.7,21270.0,,21660.0
13,2022- 09- 13,220.7,1478.75,95.75,19840.0,,39820.0
14,2022- 09- 12,224.75,1488.25,91.88,13620.0,,25180.0
15,2022- 09- 09,228.5,1412.25,93.17,16110.0,,29240.0
16,2022- 09- 08,222.2,1386.0,92.12,19430.0,,32229.999999999996
17,2022- 09- 07,223.25,1383.5,91.08,19970.0,,22700.0
18,2022- 09- 06,230.25,1398.75,91.1,19190.0,,20630.0
19,2022- 09- 02,228.8,1420.5,90.03,14710.0,66350.0,22830.0
20,2022- 09- 01,232.5,1392.5,91.95,15160.0,,16290.0
21,2022- 08- 31,235.25,1422.5,91.53,14170.0,,23890.0
22,2022- 08- 30,235.2,1432.5,93.6,15830.0,,19070.0
23,2022- 08- 29,236.6,1437.75,92.25,12040.0,,13350.0
24,2022- 08- 26,238.1,1461.25,90.65,15720.0,,16900.0
25,2022- 08- 25,239.5,1431.25,91.1,21920.0,,15930.0
26,2022- 08- 24,239.0,1457.0,90.38,31210.0,,24180.0
27,2022- 08- 23,228.25,1460.12,92.9,17010.0,,23160.0
28,2022- 08- 22,221.2,1435.25,93.97,27820.0,,17310.0
29,2022- 08- 19,213.35,1404.0,93.12,18230.0,,21780.0
30,2022- 08- 18,211.85,1405.25,93.3,17180.0,,25410.0
31,2022- 08- 17,214.4,1390.0,98.05,17840.0,71050.0,21990.0
