,date,cu_cost,oil_cost,gas_cost,wheat_cost,al_cost,cu_vol,wheat_vol,gas_vol,oil_vol,al_vol,kospi_cost,kospi_vol,kospi200_cost,kospi200_vol,kosdaq_cost,kosdaq_vol,kosdaq100_cost,kosdaq100_vol,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
0,2022- 09- 30,3.4125,78.72,6.766,921.5,2162.0,75360.0,78140.0,97370.0,95340.0,52170.0,2155.49,950270000.0,281.36,143740000.0,672.65,786870000.0,1343.38,45200000.0,221.55,1364.75,89.22,16730.0,,5070.0
1,2022- 09- 29,3.418,80.42,6.874,896.25,2197.0,86450.0,41360.0,85720.0,127460.0,81670.0,2170.93,508500000.0,282.65,128430000.0,675.07,803930000.0,1354.34,40550000.0,225.7,1410.75,89.45,14500.0,157470.0,4770.0
2,2022- 09- 28,3.3725,81.24,6.868,903.25,2124.0,1000.0,51300.0,1870.0,156310.0,48590.0,2169.29,596140000.0,283.19,160840000.0,673.87,911990000.0,1346.47,51060000.0,228.7,1408.75,89.38,17980.0,,8140.000000000001
3,2022- 09- 27,3.295,77.81,6.76,871.5,2114.0,180.0,48800.0,130920.0,123820.0,41900.0,2223.86,487940000.0,290.2,152310000.0,698.11,947760000.0,1392.49,54080000.0,224.35,1408.0,88.7,15720.0,,16370.000000000002
4,2022- 09- 26,3.305,76.18,7.014,858.0,2139.5,510.0,48790.0,81080.0,106230.0,37040.0,2220.94,622000000.0,289.77,177690000.0,692.37,943310000.0,1370.9,40730000.0,223.8,1410.75,90.38,23520.0,,14400.0
5,2022- 09- 23,3.357,78.25,6.992,880.5,2165.0,320.0,54240.0,123600.0,143230.0,41380.0,2290.0,446460000.0,297.74,114630000.0,729.36,883280000.0,1431.64,35830000.0,220.45,1425.75,92.62,12360.0,,11650.0
6,2022- 09- 22,3.482,83.03,7.193,910.75,2228.5,140.0,59590.0,94310.0,121080.0,45660.0,2332.31,446820000.0,301.65,114960000.0,751.41,978690000.0,1479.71,45880000.0,223.55,1453.0,94.12,11420.0,,7240.0
7,2022- 09- 21,3.4805,82.43,7.827,903.75,2202.5,300.0,91300.0,60250.0,144130.0,68030.0,2347.21,378160000.0,304.67,104490000.0,754.89,941670000.0,1481.98,31820000.0,221.3,1461.25,94.42,11660.0,,10660.0
8,2022- 09- 20,3.516,83.28,7.772,893.75,2245.5,220.0,72770.0,42910.0,106270.0,34550.0,2367.85,419340000.0,307.54,96960000.0,760.35,804840000.0,1496.94,27840000.0,228.1,1478.75,95.97,,,
9,2022- 09- 19,3.5255,84.61,7.752,830.5,2251.0,80.0,46380.0,87550.0,91590.0,23360.0,2355.66,403940000.0,306.49,101190000.0,751.91,882640000.0,1484.26,38400000.0,224.05,1461.25,96.47,,,
10,2022- 09- 16,3.531,84.07,7.764,859.75,2277.0,140.0,47240.0,96570.0,93630.0,23360.0,2382.78,440800000.0,308.69,135940000.0,770.04,889030000.0,1515.68,54150000.0,218.05,1448.5,96.9,0.0,,12710.0
11,2022- 09- 15,3.501,83.9,8.324,845.0,2307.5,160.0,52970.0,127210.0,107460.0,46520.0,2401.83,424110000.0,310.63,111220000.0,781.38,851720000.0,1536.33,42520000.0,219.15,1451.5,96.05,0.0,,16540.0
12,2022- 09- 14,3.5295,87.36,9.114,853.75,2270.5,180.0,30.0,137210.0,131560.0,44100.0,2411.42,461510000.0,312.74,118210000.0,782.93,858080000.0,1548.59,44140000.0,214.85,1455.0,94.7,21270.0,,21660.0
13,2022- 09- 13,3.566,86.25,8.284,842.75,2313.0,420.0,30.0,108830.0,128540.0,41670.0,2449.54,367100000.0,318.56,150590000.0,796.79,842460000.0,1594.74,54200000.0,220.7,1478.75,95.75,19840.0,,39820.0
14,2022- 09- 12,3.6155,86.86,8.249,858.75,2283.0,340.0,,106170.0,100630.0,30510.0,,,,,,,,,224.75,1488.25,91.88,13620.0,,25180.0
15,2022- 09- 09,3.573,85.75,7.996,869.5,2286.0,140.0,,90500.0,95740.0,52510.0,,,,,,,,,228.5,1412.25,93.17,16110.0,,29240.0
16,2022- 09- 08,3.5305,82.46,7.954,829.0,2276.5,100.0,,,112610.0,,2384.28,423620000.0,309.12,149120000.0,777.81,738190000.0,1557.59,48360000.0,222.2,1386.0,92.12,19430.0,,32230.0
17,2022- 09- 07,3.434,81.25,7.842,844.25,2235.0,200.0,,127190.0,139580.0,49520.0,2376.46,378200000.0,308.16,146290000.0,768.19,795840000.0,1517.67,34690000.0,223.25,1383.5,91.08,19970.0,,22700.0
18,2022- 09- 06,3.4645,86.03,8.145,817.0,2260.5,200.0,,149360.0,119460.0,47100.0,2410.02,294220000.0,313.01,91540000.0,779.46,732720000.0,1539.26,26650000.0,230.25,1398.75,91.1,19190.0,,20630.0
19,2022- 09- 05,3.4535,88.96,8.714,812.25,2285.5,,,,,,2403.68,354740000.0,312.47,112440000.0,771.43,741710000.0,1532.29,36490000.0,,,,,,
20,2022- 09- 04,3.3887,88.25,8.979,808.0,,,,,,,,,,,,,,,,,,,,
