,cu_rol7_c1,oil_rol7_c1,gas_rol7_c1,al_rol7_c1,wheat_rol7_c1,cof_rol7_c1,pk_rol7_c1,bn_rol7_c1,scaled_oil,scaled_cu,scaled_gas,scaled_wheat,scaled_pk,scaled_al,scaled_cof,kospi_cost,kospi200_cost,kosdaq_cost,kosdaq100_cost
2018- 01- 11,-0.006428571428571228,0.13571428571427901,0.0039999999999995595,-13.53571428571422,-0.03571428571433444,0.0,0.0,0.0,0.0,0.41990871549663117,0.8818995633187773,0.43911660565324373,0.37943332672874974,0.06436509003777552,0.11101973684210527,2487.91,325.67,852.51,1929.27
2018- 01- 12,-0.0055714285714283385,0.1428571428571459,0.027428571428572024,-2.5357142857142208,-2.2142857142856656,0.0,0.0,0.0,5.413892046992583e-05,0.36548576396435556,0.9055240174672489,0.7863529976594851,0.37943332672874974,0.07192019462340615,0.11101973684210527,2496.42,326.72,873.05,2010.68
2018- 01- 16,-0.00621428571428595,0.15428571428572013,0.03557142857142859,-8.785714285714675,-2.5,0.0,0.0,0.0,0.0007850143468139245,1.0,0.7232532751091703,0.49972994058692916,0.37943332672874974,0.01518355970121884,0.11101973684210527,2521.74,330.02,901.23,2096.61
2018- 01- 17,-0.005785714285714061,0.1514285714285606,0.06242857142857172,-1.4642857142853245,-1.321428571428612,0.0,0.0,0.0,1.0,0.41895240165181485,0.6174017467248908,0.3181900018003961,0.37943332672874974,0.01282411765425005,0.11101973684210527,2515.43,329.19,886.58,2051.64
2018- 01- 18,-0.0035714285714285587,0.1342857142857241,0.05057142857142871,9.714285714285325,-0.3571428571428328,0.0,0.0,0.0,2.7069460234962914e-05,0.3680069550097805,0.6383842794759825,0.3187301206265378,0.37943332672874974,0.0912480592672282,0.11101973684210527,2515.81,329.13,898.19,2067.62
2018- 01- 19,-0.004071428571428726,0.11571428571427589,0.03742857142857092,10.142857142857338,-1.3571428571428896,0.0,0.0,0.0,0.00027069460234962914,0.41008476418169965,0.48792576419213973,0.23969273240112826,0.37943332672874974,0.019975794325113996,0.11101973684210527,2520.26,329.52,879.99,1989.03
2018- 01- 22,-0.005285714285714338,0.16714285714286348,0.04542857142857182,10.0,-1.2142857142856656,0.0,0.0,0.0,2.7069460234962914e-05,0.3732666811562704,0.4377292576419214,0.3069675328572286,0.37943332672874974,0.009327742392938789,0.11101973684210527,2502.11,326.27,873.09,1966.24
2018- 01- 23,-0.01742857142857135,0.20142857142856485,0.05142857142857071,8.21428571428578,-1.6785714285714448,0.0,0.0,0.0,8.120838070488874e-05,0.7544446859378396,0.6335807860262008,0.34501590349876976,0.37943332672874974,0.012347339209525788,0.11101973684210527,2536.6,330.93,894.43,2025.36
2018- 01- 24,0.0014285714285713347,0.10428571428571587,0.04414285714285748,5.642857142856883,1.7857142857142776,0.0,0.0,0.0,0.00016241676140977748,0.7496196479026299,0.46382096069868994,0.6813899057792715,0.37943332672874974,0.015758138852553207,0.11101973684210527,2538.0,330.91,894.77,2021.2
2018- 01- 25,-0.0004285714285714448,0.12857142857142634,0.045428571428571374,7.5,2.571428571428555,0.0,0.0,0.0,0.0005684586649342212,0.5653553575309715,0.18251091703056765,0.5497209386064934,0.37943332672874974,0.011320431790119684,0.11101973684210527,2562.23,334.08,898.6,2021.52
2018- 01- 26,0.0014285714285713347,0.07000000000000028,0.039000000000000146,9.357142857143117,2.7857142857142776,0.0,0.0,0.0,0.0003519029830545179,0.43203651380134755,0.16161572052401743,0.4987097161375503,0.37943332672874974,0.014009951221897576,0.11101973684210527,2574.76,335.38,913.12,2048.33
2018- 01- 29,-0.0007142857142854453,-0.03285714285714647,0.06314285714285717,-2.4642857142857792,3.428571428571445,0.0,0.0,0.0,0.00010827784093985166,0.3685285807433167,0.041943231441048036,0.6555842285302766,0.37943332672874974,0.014071076663528893,0.11101973684210527,2598.19,338.05,927.05,2096.31
2018- 01- 30,0.0017142857142857792,-0.16571428571427305,0.0014285714285708906,-2.0714285714284415,4.928571428571445,0.0,0.0,0.0,0.0005684586649342212,0.0009563138448163444,0.5601746724890829,0.7814319150213047,0.37943332672874974,0.019315639555495787,0.11101973684210527,2567.74,333.4,920.96,2068.32
2018- 01- 31,0.001142857142856446,-0.20857142857143174,-0.032714285714285474,-4.357142857143117,3.7142857142857224,0.0,0.0,0.0,2.7069460234962914e-05,0.0006955009780482504,0.7280349344978165,0.7276600852187481,0.37943332672874974,0.04217655472560789,0.11101973684210527,2566.46,333.38,913.57,2040.82
2018- 02- 01,0.015571428571429458,-0.24428571428570933,-0.08399999999999963,-0.8571428571426623,4.214285714285722,0.0,0.0,0.0,0.0003519029830545179,0.004173005868289502,0.7821179039301309,0.676468823141091,0.37943332672874974,0.015110209171261262,0.11101973684210527,2568.54,333.36,908.2,2020.28
2018- 02- 02,-0.004357142857142726,-0.2957142857142898,-0.09471428571428575,-5.964285714285779,1.9642857142856656,0.0,0.0,0.0,0.0004331113637594066,0.001130189089328407,0.3992794759825327,0.4143311528536278,0.37943332672874974,0.02282423990513331,0.11101973684210527,2525.39,327.01,899.47,2006.27
2018- 02- 05,0.002142857142857224,-0.3685714285714212,-0.09999999999999964,-4.5714285714284415,0.821428571428612,0.0,0.0,0.0,0.002246765199501922,0.0004781569224081721,0.43445414847161573,0.6059533097281402,0.37943332672874974,0.02575826110343647,0.11101973684210527,2491.75,323.29,858.22,1904.74
2018- 02- 06,0.00014285714285655615,-0.39714285714286035,-0.10657142857142965,-12.857142857143117,0.75,0.0,0.0,0.0,0.00013534730117481457,0.0006085633557922192,0.4016593886462882,0.4808257816719679,0.37943332672874974,0.031149525055318525,0.11101973684210527,2453.31,318.01,858.17,1921.04
2018- 02- 07,-0.01371428571428579,-0.45000000000000284,-0.13271428571428556,-9.678571428571104,1.6071428571428328,0.0,0.0,0.0,0.0035460992907801418,0.0009128450336883286,0.4786899563318777,0.89443677609074,0.37943332672874974,0.03184635508991552,0.11101973684210527,2396.56,310.48,829.96,1845.49
2018- 02- 08,-0.015357142857142847,-0.3400000000000034,-0.07114285714285673,-5.2857142857146755,-0.14285714285711038,0.0,0.0,0.0,0.00046018082399436956,0.0007824386003042816,0.41569868995633186,0.7984156514433176,0.37943332672874974,0.03798334942969963,0.11101973684210527,2407.62,311.62,861.94,1917.5
2018- 02- 09,-0.023285714285714132,-0.37857142857143344,-0.05871428571428572,-13.78571428571422,-0.3928571428571672,0.0,0.0,0.0,0.0005413892046992583,0.0002608128667680939,0.5131004366812227,0.7195583028266219,0.37943332672874974,0.03993936356190173,0.11101973684210527,2363.77,304.83,842.6,1853.24
2018- 02- 12,-0.017642857142857515,-0.3500000000000014,-0.04342857142857115,-14.25,1.8571428571428328,0.0,0.0,0.0,2.7069460234962914e-05,0.0009563138448163444,0.4262663755458515,0.7812518754125908,0.37943332672874974,0.03929143388060979,0.11101973684210527,2385.38,308.13,843.24,1860.44
2018- 02- 13,-0.003785714285713837,-0.11428571428570677,-0.036000000000000476,-10.357142857142662,2.0,0.0,0.0,0.0,0.0003789724432894808,0.0006520321669202347,0.4408296943231441,0.8370041409110005,0.37943332672874974,0.03601511020917126,0.11101973684210527,2395.19,310.87,829.39,1816.33
2018- 02- 14,0.0019285714285715017,-0.06857142857143828,-0.022857142857142243,-4.892857142857338,2.2142857142857224,0.0,0.0,0.0,0.00013534730117481457,0.0009563138448163444,0.379825327510917,0.5567424833463362,0.37943332672874974,0.03996381373855426,0.11101973684210527,2421.83,314.4,848.03,1873.03
2018- 02- 20,0.01564285714285729,0.1700000000000088,-0.011571428571428566,2.4285714285715585,-1.0,0.0,0.0,0.0,0.0002165556818797033,0.0015648772006085635,0.3202183406113537,0.5206745484006482,0.37943332672874974,0.0193767649971271,0.11101973684210527,2415.12,312.83,864.41,1895.52
2018- 02- 21,0.02607142857142808,0.2414285714285711,0.010714285714285676,11.428571428571558,-0.25,0.0,0.0,0.0,2.7069460234962914e-05,0.001738752445120626,0.2707860262008734,0.46144151713376946,0.37943332672874974,0.017763053338060365,0.11101973684210527,2429.65,314.47,875.58,1922.91
2018- 02- 22,0.02200000000000024,0.2314285714285731,0.011714285714285566,8.78571428571422,-1.821428571428612,0.0,0.0,0.0,2.7069460234962914e-05,0.003607911323625299,0.1293013100436681,0.2859028986377003,0.37943332672874974,0.01007347278084084,0.11101973684210527,2414.28,312.17,870.22,1902.43
2018- 02- 23,0.00735714285714284,0.24571428571427845,0.004428571428571448,0.5714285714284415,-1.2142857142857224,0.0,0.0,0.0,0.000622597585404147,0.005042382090849815,0.14366812227074233,0.30882794214727244,0.37943332672874974,0.017579677013166418,0.11101973684210527,2451.52,316.81,874.78,1917.53
2018- 02- 26,-0.004785714285714171,0.33428571428571985,0.007428571428571118,-5.285714285714221,0.5357142857143344,0.0,0.0,0.0,2.7069460234962914e-05,0.014431645294501196,0.0274235807860262,0.31044829862569767,0.37943332672874974,0.010000122250883262,0.11101973684210527,2457.65,317.34,874.43,1913.79
2018- 02- 27,-0.009714285714285342,0.28857142857143003,0.01471428571428568,-2.1785714285715585,0.21428571428566556,0.0,0.0,0.0,2.7069460234962914e-05,0.44768528580743316,0.26556768558951965,0.19702334513592992,0.37943332672874974,0.017763053338060365,0.11101973684210527,2456.14,316.83,874.01,1904.18
2018- 02- 28,-0.01792857142857196,0.027142857142855803,0.01557142857142857,-10.78571428571422,3.821428571428612,0.0,0.0,0.0,2.7069460234962914e-05,0.41212779830471635,0.2881004366812227,0.03432755206145352,0.37943332672874974,0.03954816073546131,0.11101973684210527,2427.36,312.86,857.06,1869.56
2018- 03- 02,-0.014499999999999957,-0.09142857142855831,0.005142857142857338,-7.714285714285779,6.39285714285711,0.0,0.0,0.0,0.0007308754263439987,0.3407954792436427,0.2986899563318777,0.003000660145231951,0.37943332672874974,0.025623785131847574,0.11101973684210527,2402.16,308.35,860.23,1876.73
2018- 03- 05,-0.017499999999999627,-0.007142857142859782,0.009999999999999787,-5.964285714285779,7.285714285714334,0.0,0.0,0.0,0.003167126847490661,0.3435340143447077,0.2550655021834061,0.0022204885074716438,0.37943332672874974,0.024389051210894998,0.11101973684210527,2375.06,304.58,845.0,1840.79
2018- 03- 06,-0.009142857142857785,-0.11000000000000654,0.017714285714286238,0.5,7.107142857142833,0.0,0.0,0.0,0.0021114178983271076,0.36439904368615517,0.28561135371179036,0.0012002640580927805,0.37943332672874974,0.018582134255919997,0.11101973684210527,2411.41,310.46,859.21,1893.39
2018- 03- 07,-0.010785714285713954,-0.28285714285714647,0.019714285714285573,-6.5,4.785714285714278,0.0,0.0,0.0,2.7069460234962914e-05,0.40256465985655293,0.3139082969432314,0.0013202904639020585,0.37943332672874974,0.053325835279159885,0.11101973684210527,2401.82,311.14,841.03,1865.8
